GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
COL201108150,69,8,9,0,2,3,4,1,1,0,nunel001,Leo Nunez,False,1.0,082121.0,87.5,-8.0,2011
COL201108160,75,9,9,0,0,3,6,0,0,0,nunel001,Leo Nunez,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201108200,58,6,13,0,2,3,4,0,0,0,lindj004,Josh Lindblom,False,2.67,062102.67,33.3,-1.4992503748125936,2011
COL201108230,79,9,9,1,0,8,6,0,0,0,brotr001,Rex Brothers,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201109070,79,9,9,0,0,3,5,0,0,0,putzj001,J.J. Putz,True,1.0,090201.0,97.3,1.027749229188078,2011
COL201109170,83,9,9,0,0,3,6,0,0,0,garcj002,Santiago Casilla,True,1.0,090301.0,99.2,1.0080645161290323,2011
COL201204110,79,7,9,1,0,16,7,0,0,0,chatt001,Tyler Chatwood,True,3.0,070903.0,50.0,2.0,2012
COL201204120,70,9,9,0,0,1,4,0,0,0,wilsb001,Brian Wilson,True,1.0,090301.0,99.2,1.0080645161290323,2012
COL201204130,85,9,9,1,0,7,6,0,0,0,betar001,Rafael Betancourt,True,1.0,090101.0,95.2,1.050420168067227,2012
COL201204150,75,8,9,0,2,2,5,1,1,1,shawb001,Bryan Shaw,True,1.33,082331.33,94.4,1.059322033898305,2012
COL201205050,55,6,9,1,0,8,5,1,0,0,rogee002,Esmil Rogers,False,3.0,060313.0,33.3,-1.4992503748125936,2012
COL201205050,85,8,9,0,1,9,12,1,0,0,hernl003,Livan Hernandez,True,1.67,081311.67,80.0,1.25,2012
COL201205060,59,7,9,0,1,1,6,1,1,1,martc005,Cristhian Martinez,True,2.67,071532.67,50.0,2.0,2012
COL201205170,94,9,9,0,0,7,9,0,0,0,putzj001,J.J. Putz,True,1.0,090201.0,97.3,1.027749229188078,2012
COL201206100,87,9,9,0,0,7,10,0,0,0,downs001,Scott Downs,True,1.0,090301.0,99.2,1.0080645161290323,2012
COL201206120,77,9,9,0,0,5,8,0,0,0,cookr001,Ryan Cook,True,1.0,090301.0,99.2,1.0080645161290323,2012
COL201206250,68,9,9,1,0,4,2,0,0,0,betar001,Rafael Betancourt,True,1.0,090201.0,97.3,1.027749229188078,2012
COL201207010,74,9,9,0,0,0,2,0,0,0,streh001,Huston Street,True,1.0,090201.0,97.3,1.027749229188078,2012
COL201207180,82,9,9,0,0,6,9,0,0,0,hanrj001,Joel Hanrahan,True,1.0,090301.0,99.2,1.0080645161290323,2012
COL201208140,76,9,9,1,0,8,4,1,0,1,betar001,Rafael Betancourt,True,1.0,090421.0,50.0,2.0,2012
COL201208150,41,5,9,1,0,4,2,0,1,1,torrc001,Carlos Torres,False,2.33,050222.33,14.3,-1.1668611435239207,2012
COL201208180,79,9,9,0,0,3,6,0,0,0,cishs001,Steve Cishek,True,1.0,090301.0,99.2,1.0080645161290323,2012
COL201208270,62,8,9,1,1,3,0,0,0,1,belim001,Matt Belisle,True,1.67,081311.67,80.0,1.25,2012
COL201208310,80,9,9,0,0,3,5,0,0,0,gregl001,Luke Gregerson,True,1.0,090201.0,97.3,1.027749229188078,2012
COL201209020,41,4,9,1,2,7,6,1,0,0,ottaa001,Adam Ottavino,False,2.67,042112.67,14.3,-1.1668611435239207,2012
COL201209020,74,7,9,0,1,7,9,0,1,1,bracb001,Brad Brach,False,1.0,071221.0,50.0,-2.0,2012
COL201209100,75,9,9,1,0,6,5,0,0,0,betar001,Rafael Betancourt,True,1.0,090101.0,95.2,1.050420168067227,2012
COL201209220,43,5,9,1,0,5,3,0,0,0,torrc001,Carlos Torres,False,1.0,050201.0,14.3,-1.1668611435239207,2012
COL201209230,69,8,9,1,0,4,3,1,0,0,belim001,Matt Belisle,False,1.67,080111.67,25.0,-1.3333333333333333,2012
COL201209240,66,9,9,1,0,4,2,0,0,0,betar001,Rafael Betancourt,True,1.0,090201.0,97.3,1.027749229188078,2012
COL201209270,76,9,9,1,0,7,4,1,1,0,betar001,Rafael Betancourt,True,1.0,090321.0,75.0,1.3333333333333333,2012
